CATEGORY,COMPLAINT
Hardware Issues,"The projector in room 203 is not working, the projector is not turning on. Nothing happens when I press the power button, there is no display."
Management Issue Issues,The university portal is not working. I could not upload the assignment.
Hardware Issues, The mic in the conference room is not working. The mic is not picking up any sound. Please check this.
Maintenance and Cleaning Issue,The water taps in the bathroom on the first floor is leaking. Please fix this.
Scenery and Environment,The university campus is not well maintained. There are a lot of garbage and litter spread across the campus.
Maintenance and Cleaning Issue, Seats in the class 106 and 107 are broken and need to be replaced.
Hardware Issue, The HDMI cable is broken and is not working. The wire needs to be replaced.
Software Issue, The coputers in lab Cl7 are really slow and does not have required software installed. Please fix this.
Maintenance and Cleaning Issue, The pathway in front of the Rector's building is destroyed and needs to be repaired. there are alot of bumps and holes in the pathway.
Hardware Issue, The street lights in the university campus are not working in the evening. Please fix this.
Maintenance and Cleaning Issue, Bathroom urinals are not working. Please fix this.
Maintenance and Cleaning Issue, No water supply in the bathroom on the second floor.
Hardware Issue, No tissue paper in the bathroom on the Third floor.
Hardware Issue, The speakers in the class rooms 207 and 210 are not working. Please fix this.
Network Issue, Internet is not working in the university campus. The network is speed is really slow.
Maintainance and Cleaning Issue, The workstations in the library are not working properly. The keyboards are missing keys and the Operating system is outdated.
Network Issue, The ethernet cables in the graduate lab are not working and most of cables are broken.
Network Issue, The computers in lab CL5 are not connected to the network. Please fix this.
Hardware Issue, The projector in room G07 turned off in the middle of the class. Give us a new projector.
Maintenance and Cleaning Issue, There in no water supply to the drinking fountain on the first floor.
Maintenance and Cleaning Issue, The lights in the classroom 101 and 103 are not working. Please fix this.
Software Issues,"My university CMS is misbehaving, it is not showing my students or classes. I cannot see the attendance of my students on the portal"
Hardware Issues,"The projector is not turning on. Nothing happens when I press the power button, there is no display."
Hardware Issues,My CPU is running a bit hot. The company provided machine im using overheats and dies on me while im working on intensive tasks
Maintenance and Cleaning Issue,"Classroom 203 is extremely dirty, there is dust on the tables and litter spread across the floor. Please check this."
Scheduling and Management Issue Issues,"No classroom is available at the time slot allocated for my class, please fix this timing issue"
Hardware Issues,My university laptop is not charging. The light does not turn on when i plug it in to the wall socket.
Network Issues,"The portal is very slow in loading, i have tried different network connections but the portal always loads after 5-6 minutes on a refresh."
Hardware Issues,"Lab PC # 4 is not turning on. Please come and check, the PC is needed for lab assignments"
Network Issues,"The internet is not working in Lab # 12, there is ""limited connectivity"" being shown on the PCs."
Hardware Issues,"The charging socket in my office is not working, the office is located on the first floor of the CS department. The socket does not turn on and the visual indicator does not show any signs of it being turned on or off either"
Software Issues,The university portal does not give any response when downloading attendances. The web portal freezes when i click on the attendance sheet download button
Scheduling and Management Issue Issues,"Class timings haven't been finalized yet so I don't know which time to conduct my class at, students are concerned about lack of punctuality regarding timing of classes"
Network Issues,"Internet wifi is down, I cannot connect to the network using both phone and laptop."
Network Issues,"The lan cable in project lab is not working, there is limited connectivity being shown when i plug it in to my laptop. The internet in that entire lab is cut off as of now"
Scheduling and Management Issue Issues,"There is a clash in two mid-term papers which the students are concerned about, two course exams are scheduled at the same timeslot and both of these courses are being offered in the same semester. Kindly see if you can change the schedule of any one of the exams"
Maintenance and Cleaning Issue,The bathroom on the second floor near faculty room does not have water supply to it. There is also a door hinge broken in one of the stalls
Hardware Issues,"AC is not functional in room 201, it turns on but there is no cooling coming from the vents."
Maintenance and Cleaning Issue,There is a pipe broken in front of the physics building where there is massive water leakage in the immediate area
Maintenance and Cleaning Issue,The resolution of the projector in Room 206 is too dim. Most of the power sockets I 2md floor needs to be changed.
Maintenance and Cleaning Issue,The AC/blowers in the class rooms donot work (often)
Network Issues,The internet connections are too slow
Hardware Issues,The projectors during the FYP evaluations donot connect to the students laptops
Hardware Issues,Notes written on the glass boards installed on the ground floor class rooms are not visible from the back.
Software Issues,"My university FYP portal does not have proper push notification functionality. I have to login and preview submissions myself , which waste a lot of time. "
Network Issues,My university Ethernet connection does not work properly and disconnects everytime I try to view lectures.
Maintenance and Cleaning Issue,"In university Cs Department , 2nd floor Boys washroom , some of the doors does not close properly fix them. "
Maintenance and Cleaning Issue,"My university parking facility is not good , there is only one parking lot and it is not enough, most of the time it is full and I have to park somewhere else which is risky"
Maintenance and Cleaning Issue,"My university parking lot does not have any shade , due to which my car becomes very hot in peak summer."
Maintenance and Cleaning Issue,In CS department the heater is not working in room G-08 fix it.
Maintenance and Cleaning Issue,"In CS department, white board of many rooms are in bad condition , its hard to read from them properly."
Network Issues,"Many project labs in CS department does not have good speed due to which in my FYP presentation the internet was not working properly and was very slow , wasting committee's time"
Software Issues,"CUI portal does not have a email functionality for alerts , which makes me loose one assignment as I was not notified when it was published."
Maintenance and Cleaning Issue,"Main gate which is closer to parking lot of university is closed for students , we have to walk to the second gate which is little bit far, makes me late for classes"
Maintenance and Cleaning Issue,"Most of the Charging ports in many rooms are not working , teacher's cannot charge their laptops while presenting."
Maintenance and Cleaning Issue,"In graduate lab 4th floor, there is only one charging socket beside table which is usually occupied"
Maintenance and Cleaning Issue,"University café  items are highly priced, even common items of same rate in items are expensive , not convinient for student"
Maintenance and Cleaning Issue,University café does not have a good quality food to eat. Most of things are not fresh
Network Issues,"Mobile network does not work inside the café , because of that we cannot send documents to printer for printing them."
Software Issues,"CS department , printing machine is not working fix it."
Maintenance and Cleaning Issue,There is no soap at the sink in boys washroom 2nd floor.
Software Issues,The machines in CL-04 lab are not powerful enough for some softwares to run that are important for CS students. 
Maintenance and Cleaning Issue,Ethernet cables in Project lab 3 are broken replace them immediately 
Management Issue,There is no proper place to play football in Sports complex
Maintenance and Cleaning Issue ,Water purifier in CS department does not work and most of the time it is bitter in taste.
Management Issue,"There is only one tuck shop in CS department, we have to come all the way down from 4th floor to buy something."
Management Issue,"Teachers of Cs Department put a lot of pressure , in assignment and quizes , due to which students cannot self learn and frustrated most of the time."
Maintenance and Cleaning Issue,"The Road of G-10/3 street 50  has many pot holes , Car shocks are destroyed."
